cohort	gene	alias	n	rho	rho_lo	rho_hi	p	rho_purity_adj	p_purity_adj	rho_prolif_adj	p_prolif_adj	q	q_purity_adj	q_prolif_adj
READ	TGFB1	TGF-beta1	92	0.2870089237550668	0.07494173335377867	0.4742386108748343	0.0055394224088802365	0.022136920236004404	0.835011096301248	0.3690377135582709	0.0003186260316393881	0.016484292368189348	0.9009855375176031	0.0017721335467583946
READ	ENTPD1	CD39	92	0.2563393197748779	0.04194057670937168	0.448169559650907	0.013645448054089931	-0.013114467438734269	0.901806264308234	0.3173302285305267	0.002177282114296576	0.03499739267758817	0.9338788720346775	0.00855360830616512
READ	NT5E	CD73	92	0.03767565339043345	-0.18052722189826173	0.25234396270184334	0.7214228081491955	-0.04622273621251391	0.6635087019031201	0.015811189025184986	0.8817482494507399	0.8134494078219857	0.788232849494321	0.9227597959368209
SARC	CD274	PD-L1	258	-0.013392901598897573	-0.14251880869641767	0.11618124934597593	0.8304793162263796	-0.025659835574638367	0.6822310093863638	-0.037032565621314996	0.5545298437620194	0.8840586269506621	0.8049751811284553	0.679436318470791
SARC	PDCD1LG2	PD-L2	258	-0.08416022069993331	-0.21123315044105972	0.04571032171819089	0.1777738068476664	-0.07362021367916424	0.23956884959195318	-0.08994449604972604	0.15048888134050079	0.285707903862321	0.3825373566065059	0.2679568210918989
SARC	PDCD1	PD-1	258	-0.11135632972106546	-0.23731036766484764	0.018279865161545377	0.07417711317227657	-0.10245735516643037	0.10124969728804206	-0.0938442664859872	0.1335063269697173	0.14342840242295665	0.1996756978389674	0.2447615994444817
SARC	CTLA4	CTLA-4	258	-0.12032802655478368	-0.24587331879388455	0.00918784860505503	0.05355869491604364	-0.10526450924946304	0.0921867302308688	-0.13221814971511311	0.0341246720497229	0.11139308396404034	0.1862548223031839	0.08321040721484156
SARC	HAVCR2	TIM-3	258	-0.25754888425933303	-0.37444527673949873	-0.13259404946636189	2.8189615656279514e-05	-0.24178980386790935	9.020036391055613e-05	-0.24803637331227701	5.8213251004457954e-05	0.00015004150268664904	0.0005315378587586344	0.0004176168006841549
SARC	LAG3	LAG-3	258	-0.18822951285414916	-0.3100520376892854	-0.060325705358378036	0.0023980649136879197	-0.19469437068164197	0.0017124758027355262	-0.18546834233609716	0.002838304652348842	0.00802055494780757	0.006891670913447849	0.01066347411210472
SARC	TIGIT	TIGIT	258	-0.18508281859358988	-0.307102197627767	-0.05707665519429646	0.002842650280783024	-0.16809080973173063	0.006917122563962703	-0.1781022533190467	0.004180470956910067	0.009380745926583979	0.02267533555736118	0.01468536119815055
SARC	IDO1	IDO1	258	-0.14380414216633372	-0.2681875333870392	-0.01470487046714154	0.02085258059136951	-0.13719989902306143	0.027865851042939028	-0.13705101381191218	0.02803755299244066	0.050598173493764255	0.07221778149871633	0.06939294365629063
SARC	BTLA	BTLA	258	-0.2298686413413324	-0.3488666265950895	-0.1035760174335147	0.00019585581686411773	-0.21743348345423655	0.00044671256804944433	-0.22111097699810034	0.0003546602791356685	0.0008976724939605396	0.002126180011389182	0.001929196023869845
SARC	SIGLEC15	Siglec-15	258	-0.09557123380554348	-0.22219676757741952	0.03422477867015924	0.12573133324562236	-0.0832782461339133	0.18323616032117515	-0.15042170447394204	0.015802906127642485	0.21447531109646384	0.31884323287338223	0.043457991851016835
